Datetime,observed,trend,seasonal,resid
2022-11-06 19:30:00,9.175,9.189697916666665,0.3609026836167035,-0.37560060028336784
2022-11-06 20:00:00,9.173,9.18365625,0.366887942530966,-0.37754419253096627
2022-11-06 20:30:00,9.163,9.177458333333332,0.41528617971045345,-0.42974451304378536
2022-11-06 21:00:00,9.157,9.171041666666666,0.39693569894122266,-0.4109773656078883
2022-11-06 21:30:00,9.156,9.1648125,0.40768666047968416,-0.4164991604796836
2022-11-06 22:00:00,9.15,9.159072916666666,0.3492425899668636,-0.35831550663352946
2022-11-06 22:30:00,9.144,9.153552083333333,0.3356911476591713,-0.34524323099250376
2022-11-06 23:00:00,9.137,9.148052083333333,0.2831161476591714,-0.29416823099250394
2022-11-06 23:30:00,9.139,9.142354166666665,0.3173895450950687,-0.32074371176173483
2022-11-07 00:00:00,9.139,9.136531249999999,0.2562943527873766,-0.25382560278737637
2022-11-07 00:30:00,9.129,9.130947916666665,0.19914771817199184,-0.20109563483865744
2022-11-07 01:00:00,9.122,9.125604166666665,0.16422528227455638,-0.1678294489412219
2022-11-07 01:30:00,9.12,9.120552083333333,0.13508473740276097,-0.13563682073609487
2022-11-07 02:00:00,9.112,9.115458333333333,0.10253377586429942,-0.10599210919763209
2022-11-07 02:30:00,9.105,9.110343749999998,0.10594435278737645,-0.11128810278737443
2022-11-07 03:00:00,9.101,9.10553125,0.04586021817199195,-0.05039146817199138
2022-11-07 03:30:00,9.1,9.10078125,0.017898614606286552,-0.018679864606287618
2022-11-07 04:00:00,9.099,9.095843749999998,0.0009967591375369357,0.0021594908624648123
2022-11-07 04:30:00,9.092,9.090791666666666,-0.03142316273746346,0.03263149607079783
2022-11-07 05:00:00,9.084,9.085895833333332,-0.06524559112287995,0.06334975778954763
2022-11-07 05:30:00,9.082,9.081197916666666,-0.11487124216454686,0.11567332549788195
2022-11-07 06:00:00,9.078,9.076510416666665,-0.12146287627912977,0.12295245961246459
2022-11-07 06:30:00,9.075,9.071791666666666,-0.12458299346662988,0.12779132679996313
2022-11-07 07:00:00,9.068,9.0671875,-0.1643058124770464,0.16511831247704672
2022-11-07 07:30:00,9.061,9.06275,-0.16992120961246332,0.16817120961246385
2022-11-07 08:00:00,9.056,9.058354166666668,-0.18922264190413013,0.1868684752374617
2022-11-07 08:30:00,9.049,9.053999999999998,-0.1890105650812133,0.1840105650812143
2022-11-07 09:00:00,9.041,9.049781249999999,-0.22308543487287985,0.21430418487288144
2022-11-07 09:30:00,9.035,9.045635416666666,-0.22523175648746288,0.21459633982079665
2022-11-07 10:00:00,9.036,9.041510416666666,-0.25126854034163,0.24575812367496336
2022-11-07 10:30:00,9.036,9.037447916666666,-0.27220848174787965,0.2707605650812129
